id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","我是医生，我来检查您的眼睛。","Wǒ shì yīshēng, wǒ lái jiǎnchá nín de yǎnjīng."
"s01-02","s01-02.m4a","Intro","Please sit here.","请坐这里。","Qǐng zuò zhèlǐ."
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","请把眼镜摘下来。","Qǐng bǎ yǎnjìng zhāi xiàlái."
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","痛吗？哪里痛？请指一下。","Tòng ma? Nǎlǐ tòng? Qǐng zhǐ yíxià."
"s02-01","s02-01.m4a","Vision","Please read the smallest line you can see.","请念您能看到的最小的一行。","Qǐng niàn nín néng kàndào de zuì xiǎo de yì háng."
"s02-02","s02-02.m4a","Vision","How many fingers?","几根手指？","Jǐ gēn shǒuzhǐ?"
"s02-03","s02-03.m4a","Vision","Can you see this?","看得见吗？","Kàn de jiàn ma?"
"s02-04","s02-04.m4a","Vision","Tell me if you see the light move.","看到光移动请告诉我。","Kàndào guāng yídòng qǐng gàosu wǒ."
"s02-05","s02-05.m4a","Vision","Look at my nose.","请看我的鼻子。","Qǐng kàn wǒ de bízi."
"s02-06","s02-06.m4a","Vision","Do you see two of me?","您看到两个我吗？","Nín kàndào liǎng ge wǒ ma?"
"s02-07","s02-07.m4a","Vision","Is it worse looking this way?","看这个方向更严重吗？","Kàn zhège fāngxiàng gèng yánzhòng ma?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Don't move your head.","请看我的手指，头不要动。","Qǐng kàn wǒ de shǒuzhǐ, tóu búyào dòng."
"s03-02","s03-02.m4a","Eye movements","Look up.","往上看。","Wǎng shàng kàn."
"s03-03","s03-03.m4a","Eye movements","Look down.","往下看。","Wǎng xià kàn."
"s03-04","s03-04.m4a","Eye movements","Look left.","往左看。","Wǎng zuǒ kàn."
"s03-05","s03-05.m4a","Eye movements","Look right.","往右看。","Wǎng yòu kàn."
"s03-06","s03-06.m4a","Eye movements","Look far away.","看远处。","Kàn yuǎnchù."
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","您对药物过敏吗？","Nín duì yàowù guòmǐn ma?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","我要给您点眼药水。","Wǒ yào gěi nín diǎn yǎnyàoshuǐ."
"s04-03","s04-03.m4a","Drops","Please look up.","请往上看。","Qǐng wǎng shàng kàn."
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","这是眼睛的麻药，可能会刺痛几秒钟。","Zhè shì yǎnjīng de máyào, kěnéng huì cìtòng jǐ miǎozhōng."
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","这是散瞳药水。","Zhè shì sàntóng yàoshuǐ."
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","您的视力会模糊大约六个小时。","Nín de shìlì huì móhu dàyuē liù ge xiǎoshí."
"s04-07","s04-07.m4a","Drops","Please close your eyes.","请闭上眼睛。","Qǐng bì shàng yǎnjīng."
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","不要揉眼睛。","Búyào róu yǎnjīng."
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest.","下巴放在这里。","Xiàba fàng zài zhèlǐ."
"s05-02","s05-02.m4a","Slit lamp","Forehead against the bar.","额头靠着这里。","Étóu kàozhe zhèlǐ."
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","头不要往后退。","Tóu búyào wǎng hòu tuì."
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","灯会很亮，请忍一下。","Dēng huì hěn liàng, qǐng rěn yíxià."
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","请看我的耳朵。","Qǐng kàn wǒ de ěrduo."
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","我要碰一下您的眼皮。","Wǒ yào pèng yíxià nín de yǎnpí."
"s05-07","s05-07.m4a","Slit lamp","Almost done.","快好了。","Kuài hǎo le."
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","检查完了，谢谢您。","Jiǎnchá wán le, xièxie nín."
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","我们会用翻译跟您解释检查结果。","Wǒmen huì yòng fānyì gēn nín jiěshì jiǎnchá jiéguǒ."
