id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I am your eye doctor.","眼科医です。","gan-ka-ee dess"
"s01-02","s01-02.m4a","Intro","Please sit here.","ここに座ってください。","koh-koh nee soo-wat-tay koo-da-sigh"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","眼鏡を外してください。","meh-ga-nay oh ha-zoo-shee-tay koo-da-sigh"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","痛みますか？どこか指さしてください。","ee-ta-mee-mass ka? doh-koh ka yoo-bee-sa-shee-tay koo-da-sigh"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","眼鏡をかけてください。","meh-ga-nay oh ka-kay-tay koo-da-sigh"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","見える一番小さい行を読んでください。","mee-eh-roo ee-chee-ban chee-sigh gyoh oh yon-day koo-da-sigh"
"s02-03","s02-03.m4a","Vision","How many fingers?","指は何本ですか？","yoo-bee wa nan-bon dess ka?"
"s02-04","s02-04.m4a","Vision","Can you see this?","これが見えますか？","koh-ray ga mee-eh-mass ka?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","光が動いたら教えてください。","hee-ka-ree ga oo-goy-ta-ra oh-shee-eh-tay koo-da-sigh"
"s02-06","s02-06.m4a","Vision","Look at my nose.","私の鼻を見てください。","wa-ta-shee no ha-na oh mee-tay koo-da-sigh"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","私が二人に見えますか？","wa-ta-shee ga foo-ta-ree nee mee-eh-mass ka?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","こちらを見るとひどくなりますか？","koh-chee-ra oh mee-roo toh hee-doh-koo na-ree-mass ka?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","私の指を見てください。頭は動かさないでください。","wa-ta-shee no yoo-bee oh mee-tay koo-da-sigh. ah-ta-ma wa oo-goh-ka-sa-nigh-day koo-da-sigh"
"s03-02","s03-02.m4a","Eye movements","Look up.","上を見てください。","oo-eh oh mee-tay koo-da-sigh"
"s03-03","s03-03.m4a","Eye movements","Look down.","下を見てください。","shta oh mee-tay koo-da-sigh"
"s03-04","s03-04.m4a","Eye movements","Look left.","左を見てください。","hee-da-ree oh mee-tay koo-da-sigh"
"s03-05","s03-05.m4a","Eye movements","Look right.","右を見てください。","mee-ghee oh mee-tay koo-da-sigh"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","まっすぐ前を見てください。","mahs-soo-goo mah-eh oh mee-tay koo-da-sigh"
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","薬のアレルギーはありますか？","koo-soo-ree no ah-ray-roo-ghee wa ah-ree-mass ka?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","目薬をさします。","meh-goo-soo-ree oh sa-shee-mass"
"s04-03","s04-03.m4a","Drops","Please look up.","上を見てください。","oo-eh oh mee-tay koo-da-sigh"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","目の麻酔薬です。数秒しみることがあります。","may no ma-soo-ee-ya-koo dess. soo-byoh shee-mee-roo koh-toh ga ah-ree-mass"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","この目薬は瞳孔を広げます。","koh-no meh-goo-soo-ree wa doh-koh oh hee-roh-gay-mass"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","約6時間、見えにくくなります。","ya-koo roh-koo-jee-kan, mee-eh-nee-koo-koo na-ree-mass"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","目を閉じてください。","may oh toh-jee-tay koo-da-sigh"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","目をこすらないでください。","may oh koh-soo-ra-nigh-day koo-da-sigh"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","顎をここに乗せ、額をここにつけてください。","ah-goh oh koh-koh nee no-say, hee-tigh oh koh-koh nee tsoo-kay-tay koo-da-sigh"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","目を開けてください。","may oh ah-kay-tay koo-da-sigh"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","頭を後ろに引かないでください。","ah-ta-ma oh oo-shee-roh nee hee-ka-nigh-day koo-da-sigh"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","光が眩しいです。少し我慢してください。","hee-ka-ree ga ma-boo-shee dess. skoh-shee ga-man shtay koo-da-sigh"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","私の耳を見てください。","wa-ta-shee no mee-mee oh mee-tay koo-da-sigh"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","まぶたに触ります。","ma-boo-ta nee sa-wa-ree-mass"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","もうすぐ終わります。","moh-soo-goo oh-wa-ree-mass"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","診察は終わりです。ありがとうございました。","shin-sa-tsu wa oh-wa-ree dess. ah-ree-ga-toh goh-zigh-ma-shta"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","結果は通訳を通して説明します。","kek-ka wa tsoo-ya-koo oh toh-shtay set-soo-may shee-mass"
