id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I am your eye doctor.","ਮੈਂ ਤੁਹਾਡਾ ਅੱਖਾਂ ਦਾ ਡਾਕਟਰ ਹਾਂ।","mane tu-hah-da uh-khan da dahk-tar haan"
"s01-02","s01-02.m4a","Intro","Please sit here.","ਕਿਰਪਾ ਕਰਕੇ ਇੱਥੇ ਬੈਠੋ।","kir-pa kar-kay ih-thay bay-toe"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","ਕਿਰਪਾ ਕਰਕੇ ਐਨਕ ਉਤਾਰੋ।","kir-pa kar-kay eye-nak oo-tah-roe"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","ਦਰਦ ਹੈ? ਕਿੱਥੇ? ਇਸ਼ਾਰਾ ਕਰੋ।","dard hay? kih-thay? ih-shah-ra kuh-roe"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","ਕਿਰਪਾ ਕਰਕੇ ਐਨਕ ਲਗਾਓ।","kir-pa kar-kay eye-nak lug-ah-oh"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","ਜੋ ਸਭ ਤੋਂ ਛੋਟੀ ਲਾਈਨ ਦਿਸਦੀ ਹੈ ਉਹ ਪੜ੍ਹੋ।","joe sub tone choh-tee line dis-dee hay oh puh-roe"
"s02-03","s02-03.m4a","Vision","How many fingers?","ਕਿੰਨੀਆਂ ਉਂਗਲਾਂ?","kin-nee-yan oong-lan?"
"s02-04","s02-04.m4a","Vision","Can you see this?","ਕੀ ਇਹ ਦਿਸਦਾ ਹੈ?","kee ih dis-dah hay?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","ਜੇ ਰੌਸ਼ਨੀ ਹਿਲਦੀ ਦਿਸੇ ਤਾਂ ਦੱਸੋ।","jay rowsh-nee hil-dee dis-say tahn dus-so"
"s02-06","s02-06.m4a","Vision","Look at my nose.","ਮੇਰੇ ਨੱਕ ਵੱਲ ਦੇਖੋ।","may-ray nuck vull day-koe"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","ਕੀ ਤੁਹਾਨੂੰ ਦੋ ਦਿਸਦੇ ਹਨ?","kee tu-hah-noo doe dis-day hun?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","ਇਸ ਪਾਸੇ ਦੇਖਣ ਤੇ ਵੱਧ ਹੁੰਦਾ ਹੈ?","iss pah-say day-khan tay vudh hoon-da hay?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","ਮੇਰੀ ਉਂਗਲ ਵੱਲ ਦੇਖੋ। ਸਿਰ ਨਾ ਹਿਲਾਓ।","may-ree oon-gal vull day-koe. sir na hih-lah-oh"
"s03-02","s03-02.m4a","Eye movements","Look up.","ਉੱਪਰ ਦੇਖੋ।","oop-par day-koe"
"s03-03","s03-03.m4a","Eye movements","Look down.","ਹੇਠਾਂ ਦੇਖੋ।","hay-thaan day-koe"
"s03-04","s03-04.m4a","Eye movements","Look left.","ਖੱਬੇ ਦੇਖੋ।","khub-bay day-koe"
"s03-05","s03-05.m4a","Eye movements","Look right.","ਸੱਜੇ ਦੇਖੋ।","suj-jay day-koe"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","ਸਿੱਧਾ ਸਾਹਮਣੇ ਦੇਖੋ।","sid-dha saah-muh-nay day-koe"
