id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","我是医生，我来检查您的眼睛。","waw shr yee-shung, waw lye jyen-chah nin duh yen-jing"
"s01-02","s01-02.m4a","Intro","Please sit here.","请坐这里。","ching dzwaw jur-lee"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","请把眼镜摘下来。","ching bah yen-jing jye shyah-lye"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","痛吗？哪里痛？请指一下。","tong mah? nah-lee tong? ching jr yee-shyah"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","请把眼镜戴上。","ching bah yen-jing dye shahng"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","请念您能看到的最小的一行。","ching nyen nin nung kahn-dow duh dzway shyow duh ee hahng"
"s02-03","s02-03.m4a","Vision","How many fingers?","几根手指？","jee gun show-jr?"
"s02-04","s02-04.m4a","Vision","Can you see this?","看得见吗？","kahn duh jyen mah?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","看到光移动请告诉我。","kahn-dow gwahng yee-dong ching gow-soo waw"
"s02-06","s02-06.m4a","Vision","Look at my nose.","请看我的鼻子。","ching kahn waw duh bee-dzuh"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","您看到两个我吗？","nin kahn-dow lyahng guh waw mah?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","看这个方向更严重吗？","kahn juh-guh fahng-shyahng gung yen-jong mah?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","请看我的手指，头不要动。","ching kahn waw duh show-jr, toe boo-yow dong"
"s03-02","s03-02.m4a","Eye movements","Look up.","往上看。","wahng shahng kahn"
"s03-03","s03-03.m4a","Eye movements","Look down.","往下看。","wahng shyah kahn"
"s03-04","s03-04.m4a","Eye movements","Look left.","往左看。","wahng dzwaw kahn"
"s03-05","s03-05.m4a","Eye movements","Look right.","往右看。","wahng yoe kahn"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","请看正前方。","ching kahn jung chyen-fahng"
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","您对药物过敏吗？","nin dway yow-woo gwaw-min mah?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","我要给您点眼药水。","waw yow gay nin dyen yen-yow-shway"
"s04-03","s04-03.m4a","Drops","Please look up.","请往上看。","ching wahng shahng kahn"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","这是眼睛的麻药，可能会刺痛几秒钟。","juh shr yen-jing duh mah-yow, kuh-nung hway tsz-tong jee myow-jong"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","这是散瞳药水。","juh shr sahn-tong yow-shway"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","您的视力会模糊大约六个小时。","nin duh shr-lee hway maw-hoo dah-yweh lyo guh shyow-shr"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","请闭上眼睛。","ching bee shahng yen-jing"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","不要揉眼睛。","boo-yow roe yen-jing"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","下巴放在这里，额头靠着这里。","shyah-bah fahng dzye jur-lee, uh-toe kow-juh jur-lee"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","请睁开眼睛。","ching jung-kye yen-jing"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","头不要往后退。","toe boo-yow wahng hoe tway"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","灯会很亮，请忍一下。","dung hway hun lyahng, ching run yee-shyah"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","请看我的耳朵。","ching kahn waw duh are-dwaw"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","我要碰一下您的眼皮。","waw yow pung yee-shyah nin duh yen-pee"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","快好了。","kwye how luh"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","检查完了，谢谢您。","jyen-chah wahn luh, shyeh-shyeh nin"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","我们会用翻译跟您解释检查结果。","waw-mun hway yong fahn-ee gun nin jyeh-shr jyen-chah jyeh-gwaw"
