id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","Tôi là bác sĩ, tôi sẽ khám mắt cho ông/bà.","toy lah bahk see, toy seh khahm maht chaw ohng/bah"
"s01-02","s01-02.m4a","Intro","Please sit here.","Xin mời ngồi đây.","sin muh-ee ngoy day"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","Xin tháo kính ra.","sin tao king rah"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","Có đau không? Xin chỉ chỗ đau.","kaw dow khohng? sin chee choh dow"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","Xin đeo kính vào.","sin day-oh king vow"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","Xin đọc dòng nhỏ nhất mà ông/bà nhìn thấy.","sin dawk yawng nyaw nyut mah ohng/bah nyin thay"
"s02-03","s02-03.m4a","Vision","How many fingers?","Mấy ngón tay?","may ngawn tie?"
"s02-04","s02-04.m4a","Vision","Can you see this?","Ông/bà có thấy cái này không?","ohng/bah kaw thay kai nay khohng?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","Nếu thấy ánh sáng di chuyển, xin cho tôi biết.","nay-oo thay ang sahng yee chwee-en, sin chaw toy bee-et"
"s02-06","s02-06.m4a","Vision","Look at my nose.","Xin nhìn vào mũi tôi.","sin nyin vow moo-ee toy"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","Ông/bà có thấy hai người tôi không?","ohng/bah kaw thay high ngoo-ee toy khohng?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","Nhìn về hướng này có nặng hơn không?","nyin veh hoong nay kaw nahng huhn khohng?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","Xin nhìn ngón tay tôi. Đừng quay đầu.","sin nyin ngawn tie toy. dung kway dow"
"s03-02","s03-02.m4a","Eye movements","Look up.","Nhìn lên.","nyin len"
"s03-03","s03-03.m4a","Eye movements","Look down.","Nhìn xuống.","nyin soo-ong"
"s03-04","s03-04.m4a","Eye movements","Look left.","Nhìn sang trái.","nyin sahng chai"
"s03-05","s03-05.m4a","Eye movements","Look right.","Nhìn sang phải.","nyin sahng fai"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","Nhìn thẳng phía trước.","nyin thahng fee-a chuke"
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","Ông/bà có dị ứng thuốc nào không?","ohng/bah kaw yee ung too-ok now khohng?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","Tôi sẽ nhỏ thuốc vào mắt.","toy seh nyaw too-ok vow maht"
"s04-03","s04-03.m4a","Drops","Please look up.","Xin nhìn lên.","sin nyin len"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","Đây là thuốc tê mắt. Có thể xót vài giây.","day lah too-ok tay maht. kaw theh sawt vai yay"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","Thuốc này sẽ làm giãn đồng tử.","too-ok nay seh lahm yahn dohng tu"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","Mắt sẽ mờ khoảng sáu tiếng.","maht seh muh khwahng sow tee-eng"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","Xin nhắm mắt lại.","sin nyam maht lai"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","Đừng dụi mắt.","dung yoo-ee maht"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","Đặt cằm vào đây và áp trán vào thanh này.","daht kahm vow day vah ahp chahn vow tahn nay"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","Xin mở mắt ra.","sin muh maht rah"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","Đừng ngả đầu ra sau.","dung ngah dow rah sow"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","Đèn rất sáng. Xin chịu khó một chút.","den rut sahng. sin chee-oo khaw moht choot"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","Xin nhìn vào tai tôi.","sin nyin vow tie toy"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","Tôi sẽ chạm vào mí mắt.","toy seh chahm vow mee maht"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","Sắp xong rồi.","sahp sawng roy"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","Khám xong rồi. Cảm ơn ông/bà.","khahm sawng roy. kahm uhn ohng/bah"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","Chúng tôi sẽ nhờ thông dịch viên giải thích kết quả.","choong toy seh nyuh thohng yik vee-en yai thik ket kwah"
