id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","Tôi là bác sĩ, tôi sẽ khám mắt cho ông/bà.",""
"s01-02","s01-02.m4a","Intro","Please sit here.","Xin mời ngồi đây.",""
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","Xin tháo kính ra.",""
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","Có đau không? Xin chỉ chỗ đau.",""
"s02-01","s02-01.m4a","Vision","Please read the smallest line you can see.","Xin đọc dòng nhỏ nhất mà ông/bà nhìn thấy.",""
"s02-02","s02-02.m4a","Vision","How many fingers?","Mấy ngón tay?",""
"s02-03","s02-03.m4a","Vision","Can you see this?","Ông/bà có thấy cái này không?",""
"s02-04","s02-04.m4a","Vision","Tell me if you see the light move.","Nếu thấy ánh sáng di chuyển, xin cho tôi biết.",""
"s02-05","s02-05.m4a","Vision","Look at my nose.","Xin nhìn vào mũi tôi.",""
"s02-06","s02-06.m4a","Vision","Do you see two of me?","Ông/bà có thấy hai người tôi không?",""
"s02-07","s02-07.m4a","Vision","Is it worse looking this way?","Nhìn về hướng này có nặng hơn không?",""
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Don't move your head.","Xin nhìn ngón tay tôi. Đừng quay đầu.",""
"s03-02","s03-02.m4a","Eye movements","Look up.","Nhìn lên.",""
"s03-03","s03-03.m4a","Eye movements","Look down.","Nhìn xuống.",""
"s03-04","s03-04.m4a","Eye movements","Look left.","Nhìn sang trái.",""
"s03-05","s03-05.m4a","Eye movements","Look right.","Nhìn sang phải.",""
"s03-06","s03-06.m4a","Eye movements","Look far away.","Nhìn ra xa.",""
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","Ông/bà có dị ứng thuốc nào không?",""
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","Tôi sẽ nhỏ thuốc vào mắt.",""
"s04-03","s04-03.m4a","Drops","Please look up.","Xin nhìn lên.",""
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","Đây là thuốc tê mắt. Có thể xót vài giây.",""
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","Thuốc này sẽ làm giãn đồng tử.",""
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","Mắt sẽ mờ khoảng sáu tiếng.",""
"s04-07","s04-07.m4a","Drops","Please close your eyes.","Xin nhắm mắt lại.",""
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","Đừng dụi mắt.",""
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest.","Đặt cằm vào đây.",""
"s05-02","s05-02.m4a","Slit lamp","Forehead against the bar.","Áp trán vào thanh này.",""
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","Đừng ngả đầu ra sau.",""
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","Đèn rất sáng. Xin chịu khó một chút.",""
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","Xin nhìn vào tai tôi.",""
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","Tôi sẽ chạm vào mí mắt.",""
"s05-07","s05-07.m4a","Slit lamp","Almost done.","Sắp xong rồi.",""
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","Khám xong rồi. Cảm ơn ông/bà.",""
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","Chúng tôi sẽ nhờ thông dịch viên giải thích kết quả.",""
