id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","من دکتر هستم، چشم‌های شما را معاینه می‌کنم.","Man doktor hastam, cheshm-hâye shomâ râ mo'âyene mikonam."
"s01-02","s01-02.m4a","Intro","Please sit here.","لطفاً اینجا بنشینید.","Lotfan injâ beneshinid."
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","لطفاً عینک خود را بردارید.","Lotfan eynak-e khod râ bardârid."
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","درد دارید؟ کجا؟ اشاره کنید.","Dard dârid? Kojâ? Eshâre konid."
"s02-01","s02-01.m4a","Vision","Please read the smallest line you can see.","کوچک‌ترین خطی که می‌بینید بخوانید.","Kuchaktarin khatti ke mibinid bekhânid."
"s02-02","s02-02.m4a","Vision","How many fingers?","چند انگشت؟","Chand angosht?"
"s02-03","s02-03.m4a","Vision","Can you see this?","این را می‌بینید؟","In râ mibinid?"
"s02-04","s02-04.m4a","Vision","Tell me if you see the light move.","اگر نور حرکت کرد به من بگویید.","Agar nur harekat kard be man beguyid."
"s02-05","s02-05.m4a","Vision","Look at my nose.","به بینی من نگاه کنید.","Be bini-ye man negâh konid."
"s02-06","s02-06.m4a","Vision","Do you see two of me?","آیا مرا دوتا می‌بینید؟","Âyâ marâ do tâ mibinid?"
"s02-07","s02-07.m4a","Vision","Is it worse looking this way?","وقتی به این طرف نگاه می‌کنید بدتر است؟","Vaqti be in taraf negâh mikonid badtar ast?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Don't move your head.","به انگشت من نگاه کنید. سرتان را تکان ندهید.","Be angosht-e man negâh konid. Saretân râ tekân nadahid."
"s03-02","s03-02.m4a","Eye movements","Look up.","به بالا نگاه کنید.","Be bâlâ negâh konid."
"s03-03","s03-03.m4a","Eye movements","Look down.","به پایین نگاه کنید.","Be pâin negâh konid."
"s03-04","s03-04.m4a","Eye movements","Look left.","به چپ نگاه کنید.","Be chap negâh konid."
"s03-05","s03-05.m4a","Eye movements","Look right.","به راست نگاه کنید.","Be râst negâh konid."
"s03-06","s03-06.m4a","Eye movements","Look far away.","به دور نگاه کنید.","Be dur negâh konid."
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","به دارویی حساسیت دارید؟","Be dâruyi hassâsiyat dârid?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","در چشم شما قطره می‌ریزم.","Dar cheshm-e shomâ qatre mirizam."
"s04-03","s04-03.m4a","Drops","Please look up.","لطفاً به بالا نگاه کنید.","Lotfan be bâlâ negâh konid."
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","این قطره بی‌حسی چشم است. ممکن است چند ثانیه بسوزد.","In qatre bihessi-ye cheshm ast. Momken ast chand sâniye besuzad."
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","این قطره مردمک را گشاد می‌کند.","In qatre mardomak râ goshâd mikonad."
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","دید شما حدود شش ساعت تار خواهد بود.","Did-e shomâ hodud-e shesh sâ'at târ khâhad bud."
"s04-07","s04-07.m4a","Drops","Please close your eyes.","لطفاً چشمانتان را ببندید.","Lotfan cheshmânetân râ bebandid."
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","چشمانتان را نمالید.","Cheshmânetân râ namâlid."
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest.","چانه را اینجا بگذارید.","Châne râ injâ bogzârid."
"s05-02","s05-02.m4a","Slit lamp","Forehead against the bar.","پیشانی را به این میله تکیه دهید.","Pishâni râ be in mile tekye dahid."
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","سرتان را عقب نکشید.","Saretân râ aqab nakeshid."
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","نور تند است. کمی تحمل کنید.","Nur tond ast. Kami tahammol konid."
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","به گوش من نگاه کنید.","Be gush-e man negâh konid."
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","پلک شما را لمس می‌کنم.","Pelk-e shomâ râ lams mikonam."
"s05-07","s05-07.m4a","Slit lamp","Almost done.","تقریباً تمام شد.","Taqriban tamâm shod."
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","معاینه تمام شد. متشکرم.","Mo'âyene tamâm shod. Moteshakkeram."
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","برای توضیح نتایج از مترجم استفاده می‌کنیم.","Barâye towzih-e natâyej az motarjem estefâde mikonim."
