id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","Doktor po ako, titingnan ko ang inyong mga mata.","dok-tor po ah-ko, tee-ting-nan ko ang in-yong ma-nga ma-ta"
"s01-02","s01-02.m4a","Intro","Please sit here.","Maupo po kayo rito.","ma-oo-po po ka-yo ree-to"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","Pakitanggal po ang inyong salamin.","pa-kee-tang-gal po ang in-yong sa-la-min"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","Masakit po ba? Ituro po ninyo kung saan.","ma-sa-kit po ba? ee-too-ro po nin-yo koong sa-an"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","Isuot po ninyo ang inyong salamin.","ee-soo-ot po nin-yo ang in-yong sa-la-min"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","Pakibasa po ang pinakamaliit na linyang nakikita ninyo.","pa-kee-ba-sa po ang pee-na-ka-ma-lee-eet na lin-yang na-kee-kee-ta nin-yo"
"s02-03","s02-03.m4a","Vision","How many fingers?","Ilang daliri po?","ee-lang da-lee-ree po?"
"s02-04","s02-04.m4a","Vision","Can you see this?","Nakikita po ba ninyo ito?","na-kee-kee-ta po ba nin-yo ee-to?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","Sabihin po ninyo kung gumagalaw ang ilaw.","sa-bee-hin po nin-yo koong goo-ma-ga-low ang ee-low"
"s02-06","s02-06.m4a","Vision","Look at my nose.","Tingnan po ninyo ang ilong ko.","ting-nan po nin-yo ang ee-long ko"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","Nakikita po ba ninyo akong dalawa?","na-kee-kee-ta po ba nin-yo ah-kong da-la-wa?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","Mas malala po ba kapag tumitingin sa ganitong direksyon?","mas ma-la-la po ba ka-pag too-mee-ting-in sa ga-nee-tong dee-rek-shon?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","Tingnan po ninyo ang daliri ko. Huwag pong igalaw ang ulo.","ting-nan po nin-yo ang da-lee-ree ko. hoo-wag pong ee-ga-low ang oo-lo"
"s03-02","s03-02.m4a","Eye movements","Look up.","Tumingin po sa itaas.","too-ming-in po sa ee-ta-as"
"s03-03","s03-03.m4a","Eye movements","Look down.","Tumingin po sa ibaba.","too-ming-in po sa ee-ba-ba"
"s03-04","s03-04.m4a","Eye movements","Look left.","Tumingin po sa kaliwa.","too-ming-in po sa ka-lee-wa"
"s03-05","s03-05.m4a","Eye movements","Look right.","Tumingin po sa kanan.","too-ming-in po sa ka-nan"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","Tumingin po sa harap.","too-ming-in po sa ha-rap"
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","May allergy po ba kayo sa kahit anong gamot?","my a-ler-jee po ba ka-yo sa ka-hit ah-nong ga-mot?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","Lalagyan ko po ng patak ang mata ninyo.","la-lag-yan ko po nang pa-tak ang ma-ta nin-yo"
"s04-03","s04-03.m4a","Drops","Please look up.","Tumingin po sa itaas.","too-ming-in po sa ee-ta-as"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","Pampamanhid po ito sa mata. Maaaring humapdi ng ilang segundo.","pam-pa-man-hid po ee-to sa ma-ta. ma-ah-ring hoo-map-dee nang ee-lang se-goon-do"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","Palalakihin po nito ang balintataw ninyo.","pa-la-la-kee-hin po nee-to ang ba-lin-ta-tow nin-yo"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","Malalabo po ang paningin ninyo nang humigit-kumulang anim na oras.","ma-la-la-bo po ang pa-ning-in nin-yo nang hoo-mee-git-koo-moo-lang ah-nim na o-ras"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","Ipikit po ninyo ang mga mata.","ee-pee-kit po nin-yo ang ma-nga ma-ta"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","Huwag pong kuskusin ang mata.","hoo-wag pong koos-koo-sin ang ma-ta"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","Ipatong po ang baba dito at idikit ang noo sa bar.","ee-pa-tong po ang ba-ba dee-to at ee-dee-kit ang no-o sa bar"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","Imulat po ninyo ang mga mata.","ee-moo-lat po nin-yo ang ma-nga ma-ta"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","Huwag pong iurong ang ulo.","hoo-wag pong ee-oo-rong ang oo-lo"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","Maliwanag po ang ilaw. Pasensya po sandali.","ma-lee-wa-nag po ang ee-low. pa-sen-sha po san-da-lee"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","Tingnan po ninyo ang tainga ko.","ting-nan po nin-yo ang ta-ing-a ko"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","Hahawakan ko po ang talukap ng mata ninyo.","ha-ha-wa-kan ko po ang ta-loo-kap nang ma-ta nin-yo"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","Malapit na pong tapos.","ma-la-pit na pong ta-pos"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","Tapos na po ang pagsusuri. Salamat po.","ta-pos na po ang pag-soo-soo-ree. sa-la-mat po"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","Gagamit po tayo ng interpreter para ipaliwanag ang resulta.","ga-ga-mit po ta-yo nang in-ter-pre-ter pa-ra ee-pa-lee-wa-nag ang re-sool-ta"
