id,file,stage,english,target,romanisation
"s01-01","s01-01.m4a","Intro","I'm the doctor, I'm going to check your eyes.","من دکتر هستم، چشم‌های شما را معاینه می‌کنم.","mun dok-tor hass-tam, chesh-mah-yeh show-mah rah moh-eye-eh-neh mee-koh-nam"
"s01-02","s01-02.m4a","Intro","Please sit here.","لطفاً اینجا بنشینید.","lot-fan een-jah beh-neh-shee-need"
"s01-03","s01-03.m4a","Intro","Please take off your glasses.","لطفاً عینک خود را بردارید.","lot-fan ay-nak-eh khod rah bar-dah-reed"
"s01-04","s01-04.m4a","Intro","Does it hurt? Point to where.","درد دارید؟ کجا؟ اشاره کنید.","dard dah-reed? koh-jah? eh-shah-reh koh-need"
"s02-01","s02-01.m4a","Vision","Put your glasses on.","لطفاً عینک خود را بزنید.","lot-fan ay-nak-eh khod rah beh-zah-need"
"s02-02","s02-02.m4a","Vision","Please read the smallest line you can see.","کوچک‌ترین خطی که می‌بینید بخوانید.","koo-chak-tah-reen khat-tee keh mee-bee-need beh-khah-need"
"s02-03","s02-03.m4a","Vision","How many fingers?","چند انگشت؟","chand an-gosht?"
"s02-04","s02-04.m4a","Vision","Can you see this?","این را می‌بینید؟","een rah mee-bee-need?"
"s02-05","s02-05.m4a","Vision","Tell me if you see the light move.","اگر نور حرکت کرد به من بگویید.","ah-gar noor hah-reh-kat kard beh mun beh-goo-yeed"
"s02-06","s02-06.m4a","Vision","Look at my nose.","به بینی من نگاه کنید.","beh bee-nee-yeh mun neh-gah koh-need"
"s02-07","s02-07.m4a","Vision","Do you see two of me?","آیا مرا دوتا می‌بینید؟","ah-yah mah-rah doe tah mee-bee-need?"
"s02-08","s02-08.m4a","Vision","Is it worse looking this way?","وقتی به این طرف نگاه می‌کنید بدتر است؟","vagh-tee beh een tah-raf neh-gah mee-koh-need bad-tar ast?"
"s03-01","s03-01.m4a","Eye movements","Look at my finger. Do not move your head.","به انگشت من نگاه کنید. سرتان را تکان ندهید.","beh an-gosht-eh mun neh-gah koh-need. sah-reh-tahn rah teh-kahn nah-dah-heed"
"s03-02","s03-02.m4a","Eye movements","Look up.","به بالا نگاه کنید.","beh bah-lah neh-gah koh-need"
"s03-03","s03-03.m4a","Eye movements","Look down.","به پایین نگاه کنید.","beh pah-een neh-gah koh-need"
"s03-04","s03-04.m4a","Eye movements","Look left.","به چپ نگاه کنید.","beh chap neh-gah koh-need"
"s03-05","s03-05.m4a","Eye movements","Look right.","به راست نگاه کنید.","beh rahst neh-gah koh-need"
"s03-06","s03-06.m4a","Eye movements","Look straight ahead.","مستقیم به جلو نگاه کنید.","moss-tah-gheem beh jeh-loh neh-gah koh-need"
"s04-01","s04-01.m4a","Drops","Are you allergic to any medications?","به دارویی حساسیت دارید؟","beh dah-roo-yee hass-sah-see-yat dah-reed?"
"s04-02","s04-02.m4a","Drops","I'm going to put drops in your eye.","در چشم شما قطره می‌ریزم.","dar chesh-meh show-mah ghat-reh mee-ree-zam"
"s04-03","s04-03.m4a","Drops","Please look up.","لطفاً به بالا نگاه کنید.","lot-fan beh bah-lah neh-gah koh-need"
"s04-04","s04-04.m4a","Drops","This is an analgesic for your eyes. It may sting for a few seconds.","این قطره بی‌حسی چشم است. ممکن است چند ثانیه بسوزد.","een ghat-reh bee-hess-see-yeh cheshm ast. mom-ken ast chand sah-nee-yeh beh-soo-zad"
"s04-05","s04-05.m4a","Drops","This drop will dilate your pupils.","این قطره مردمک را گشاد می‌کند.","een ghat-reh mar-doh-mak rah goh-shahd mee-koh-nad"
"s04-06","s04-06.m4a","Drops","Your vision will be blurry for about 6 hours.","دید شما حدود شش ساعت تار خواهد بود.","dee-deh show-mah hoh-doo-deh shesh sah-at tar khah-had bood"
"s04-07","s04-07.m4a","Drops","Please close your eyes.","لطفاً چشمانتان را ببندید.","lot-fan chesh-mah-neh-tahn rah beh-ban-deed"
"s04-08","s04-08.m4a","Drops","Don't rub your eyes.","چشمانتان را نمالید.","chesh-mah-neh-tahn rah nah-mah-leed"
"s05-01","s05-01.m4a","Slit lamp","Chin on the rest, forehead against the bar.","چانه را اینجا بگذارید و پیشانی را به این میله تکیه دهید.","chah-neh rah een-jah bog-zah-reed va pee-shah-nee rah beh een mee-leh tek-yeh dah-heed"
"s05-02","s05-02.m4a","Slit lamp","Open your eyes.","چشمانتان را باز کنید.","chesh-mah-neh-tahn rah bahz koh-need"
"s05-03","s05-03.m4a","Slit lamp","Don't pull your head back.","سرتان را عقب نکشید.","sah-reh-tahn rah ah-ghab nah-keh-sheed"
"s05-04","s05-04.m4a","Slit lamp","The light is bright. Please bear with it.","نور تند است. کمی تحمل کنید.","noor tond ast. kah-mee tah-ham-mol koh-need"
"s05-05","s05-05.m4a","Slit lamp","Look at my ear.","به گوش من نگاه کنید.","beh goo-sheh mun neh-gah koh-need"
"s05-06","s05-06.m4a","Slit lamp","I'm going to touch your eyelid.","پلک شما را لمس می‌کنم.","pel-keh show-mah rah lams mee-koh-nam"
"s05-07","s05-07.m4a","Slit lamp","Almost done.","تقریباً تمام شد.","tagh-ree-ban tah-mahm shod"
"s06-01","s06-01.m4a","Closing","The exam is finished. Thank you.","معاینه تمام شد. متشکرم.","moh-eye-eh-neh tah-mahm shod. moh-teh-shak-keh-ram"
"s06-02","s06-02.m4a","Closing","We will use an interpreter to explain the results.","برای توضیح نتایج از مترجم استفاده می‌کنیم.","bah-rah-yeh tow-zee-heh nah-tah-yej az moh-tar-jem es-teh-fah-deh mee-koh-neem"
